명칭,위도,경도
오기영내과의원-1,37.49283524,127.1348198
김수연이비인후과의원-1,37.51548936,127.1320889
가락삼성치과의원-1,37.49292206,127.1117747
소망치과의원-1,37.50395304,127.1087826
스텔라치과의원-1,37.5042532,127.1056163
연세드림치과의원-1,37.49156611,127.1164427
봄치과의원-1,37.52891154,127.1173485
푸르메디의원-1,37.50330579,127.1256778
변혁한의원-1,37.51713031,127.1034737
우리이비인후과의원-1,37.51548936,127.1320889
행복한경희한의원-1,37.53688102,127.1216603
클렌피부과의원-1,37.51548936,127.1320889
펠리체여성의원-1,37.47715692,127.1274321
가락실버사랑의원-1,37.4995496,127.1157877
하얀치과의원-1,37.53698936,127.1214455
송파그린치과의원-1,37.50115257,127.1069691
롯데골드캐슬치과의원-1,37.51419511,127.1010718
베스탑비뇨기과의원-1,37.51419511,127.1010718
로스윌준치과의원-1,37.51138784,127.0844415
에스신경외과의원-1,37.51141683,127.0816026
송파서울이비인후과의원-1,37.51404522,127.1076546
다함경희한의원-1,37.50348201,127.0900649
잠실고운세상피부과의원-1,37.51648338,127.1013803
가든파이브서울치과의원-1,37.47762164,127.1224472
연세화이트치과의원-1,37.50483646,127.1348864
신농씨한의원-1,37.49619731,127.116382
경희참한의원-1,37.49721284,127.1359245
예스주니어치과의원-1,37.49979376,127.1050447
유앤맘외과의원-1,37.51073787,127.0862052
해솔한의원-1,37.50989021,127.1186876
은혜이비인후과의원-1,37.50229786,127.0950508
서울청치과의원-1,37.50276631,127.0951419
성현한의원-1,37.50127731,127.1085186
메디스콥영상의학과의원-1,37.49477012,127.1200323
송파바울의원-1,37.5041943,127.0893984
경희한빛한의원-1,37.50887949,127.1109612
송파본치과의원-1,37.50356092,127.113826
아람한의원(송파점)-1,37.51146214,127.0812181
채움치과의원-1,37.48801835,127.1317131
에코이비인후과의원-1,37.50764331,127.0918002
웰206정형외과의원-1,37.51141809,127.0797137
쾌한의원-1,37.50378591,127.1140978
경희정한의원-1,37.49262449,127.145494
서울우리비뇨기과의원-1,37.48466001,127.1209208
굿마취통증의학과의원-1,37.51784399,127.1012576
사랑아이여성의원-1,37.51052655,127.0790455
사랑안과의원-1,37.49842505,127.1470204
우리365한의원-1,37.50909797,127.0863278
잠실서울비뇨의학과의원-1,37.51525959,127.0995123
파크리오소아청소년과의원-1,37.52087762,127.1044291
연세에이앤비피부과의원-1,37.50527072,127.1062963
박신성내과의원-1,37.50499957,127.0847172
서울손길담은치과의원-1,37.48628397,127.1187638
만당한의원-1,37.51481267,127.1156074
거여연세치과의원-1,37.49282348,127.1448611
이가정의학과의원-1,37.49696905,127.1282457
송파어린이치과의원-1,37.51198064,127.0870436
서울플러스치과의원-1,37.49323754,127.1451898
한사랑가정의원-1,37.48815334,127.1318603
두얼의원-1,37.50932529,127.1248735
서울치과의원-1,37.49746007,127.1323967
백제한의원-1,37.52628031,127.1176838
송파경희한의원-1,37.50463742,127.1186681
문소아과의원-1,37.49696905,127.1282457
국민체력센터의원-1,37.52034496,127.1154235
밝은서울치과의원-1,37.50485498,127.0853278
김영득치과의원-1,37.5041943,127.0893984
고재원이비인후과의원-1,37.50155677,127.1083494
이젠치과의원-1,37.50191501,127.1107135
일신치과의원-1,37.50719592,127.074224
강지혜소아청소년과의원-1,37.49845285,127.1463985
박선치과의원-1,37.50719872,127.11615
박산부인과의원-1,37.49818323,127.1458439
잠실진단검사의학과의원-1,37.51141529,127.0838421
신치과의원-1,37.51115529,127.1149119
조외과의원-1,37.49818323,127.1458439
동양한의원-1,37.50752788,127.0895381
장현일치과의원-1,37.50978662,127.0807187
노문호치과의원-1,37.51824052,127.1011451
임장선이비인후과의원-1,37.51248048,127.093333
한일치과의원-1,37.51768164,127.101461
김혜숙산부인과의원-1,37.49689872,127.1499464
분도치과의원-1,37.50757078,127.0923769
김치과의원-1,37.48937036,127.1227714
백성현치과의원-1,37.49515775,127.1366332
경희한의원-1,37.50629904,127.0941058
세제한의원-1,37.52628031,127.1176838
우리들의원-1,37.50647779,127.1162846
김동철이비인후과의원-1,37.50580241,127.106184
닥터포유치과의원-1,37.50548391,127.1096895
행복이가득한치과의원-1,37.52758608,127.1183646
송성용의원-1,37.51646606,127.1107687
조의원-1,37.49512811,127.1309226
신통한의원-1,37.50774533,127.0879097
방이정형외과의원-1,37.51194945,127.1135671
인성정신건강의학과의원-1,37.49804772,127.1461376
윈가정의학과의원-1,37.51139815,127.082564
서울심치과의원-1,37.49458008,127.152373
다사랑내과의원-1,37.53339761,127.1182379
서울미치과의원-1,37.49727751,127.1496531
김정희이비인후과의원-1,37.49831029,127.1207843
공내과의원-1,37.50872867,127.1267387
연세키즈소아과의원-1,37.49759217,127.1351223
이재용치과의원-1,37.51124301,127.0853915
참내과의원-1,37.49189854,127.1262583
지인마취통증의학과의원-1,37.51073787,127.0862052
수앤은의원-1,37.51088254,127.0854928
크는한의원-1,37.51277189,127.1108651
연세힐링이비인후과의원-1,37.48575012,127.1210243
행복나루정신건강의학과의원-1,37.5177806,127.1016308
몸사랑치과의원-1,37.48575012,127.1210243
경희케이한의원-1,37.48801835,127.1317131
영진한의원-1,37.51073787,127.0862052
해맑은안과의원-1,37.52117958,127.1093389
한사랑의원-1,37.52117958,127.1093389
위례영광한의원-1,37.48173537,127.1421943
경희이끌림한의원-1,37.50373661,127.1089858
송파삼성정형외과의원-1,37.50508905,127.1079473
연세탑이비인후과의원-1,37.52031097,127.1132742
잠실미의원-1,37.51138871,127.0831974
크리스털의원-1,37.50191501,127.1107135
박호영치과의원-1,37.51138784,127.0844415
연세차내과의원-1,37.48499716,127.1259867
서울드림이비인후과의원-1,37.51578251,127.0991058
차오름치과의원-1,37.48485767,127.1214752
올바른치과의원-1,37.48575012,127.1210243
