iter	Passed	Remaining
649	2651	1427
650	2654	1423
651	2659	1419
652	2662	1415
653	2667	1411
654	2670	1406
655	2675	1402
656	2679	1398
657	2683	1394
658	2687	1390
659	2691	1386
660	2695	1382
661	2701	1379
662	2704	1374
663	2708	1370
664	2713	1366
665	2716	1362
666	2720	1358
667	2725	1354
668	2728	1350
669	2732	1346
670	2736	1341
671	2740	1337
672	2743	1333
673	2748	1329
674	2752	1325
675	2756	1320
676	2759	1316
677	2764	1312
678	2767	1308
679	2771	1304
680	2775	1300
681	2779	1296
682	2784	1292
683	2787	1287
684	2791	1283
685	2795	1279
686	2799	1275
687	2803	1271
688	2806	1266
689	2811	1263
690	2815	1259
691	2819	1254
692	2822	1250
693	2827	1246
694	2830	1242
695	2834	1238
696	2838	1233
697	2842	1229
698	2846	1225
699	2849	1221
700	2853	1217
701	2858	1213
702	2862	1209
703	2866	1205
704	2874	1202
705	2880	1199
706	2884	1195
707	2890	1191
708	2893	1187
709	2897	1183
710	2901	1179
711	2904	1174
712	2908	1170
713	2912	1166
714	2916	1162
715	2919	1158
716	2924	1154
717	2928	1150
718	2934	1146
719	2938	1142
720	2942	1138
721	2946	1134
722	2949	1130
723	2953	1126
724	2957	1121
725	2961	1117
726	2965	1113
727	2969	1109
728	2973	1105
729	2977	1101
730	2981	1097
731	2985	1092
732	2989	1088
733	2992	1084
734	2996	1080
735	3000	1076
736	3004	1072
737	3008	1068
738	3012	1063
739	3015	1059
740	3020	1055
741	3024	1051
742	3028	1047
743	3031	1043
744	3035	1039
745	3042	1035
746	3046	1031
747	3053	1028
748	3057	1024
749	3064	1021
750	3070	1017
751	3073	1013
752	3077	1009
753	3082	1005
754	3085	1001
755	3089	996
756	3092	992
757	3096	988
758	3100	984
759	3104	980
760	3107	975
761	3111	971
762	3116	968
763	3121	964
764	3125	959
765	3129	955
766	3133	951
767	3136	947
768	3140	943
769	3144	939
770	3148	935
771	3151	930
772	3155	926
773	3159	922
774	3162	918
775	3166	914
776	3170	909
777	3174	905
778	3177	901
779	3181	897
780	3186	893
781	3190	889
782	3194	885
783	3197	881
784	3201	876
785	3205	872
786	3208	868
787	3212	864
788	3216	860
789	3220	856
790	3223	851
791	3227	847
792	3230	843
793	3234	839
794	3238	834
795	3241	830
796	3245	826
797	3248	822
798	3252	818
799	3255	813
800	3259	809
801	3263	805
802	3267	801
803	3270	797
804	3274	793
805	3277	788
806	3282	784
807	3285	780
808	3289	776
809	3292	772
810	3297	768
811	3300	764
812	3304	759
813	3307	755
814	3311	751
815	3317	748
816	3320	743
817	3325	739
818	3328	735
819	3332	731
820	3335	727
821	3340	723
822	3343	719
823	3347	714
824	3350	710
825	3354	706
826	3358	702
827	3361	698
828	3365	694
829	3368	690
830	3372	685
831	3376	681
832	3379	677
833	3383	673
834	3387	669
835	3390	665
836	3394	661
837	3397	656
838	3401	652
839	3405	648
840	3409	644
841	3412	640
842	3418	636
843	3422	632
844	3426	628
845	3430	624
846	3435	620
847	3438	616
848	3442	612
849	3445	608
850	3449	603
851	3453	599
852	3456	595
853	3460	591
854	3464	587
855	3467	583
856	3471	579
857	3475	575
858	3482	571
859	3490	568
860	3498	564
861	3502	560
862	3507	556
863	3511	552
864	3514	548
865	3518	544
866	3523	540
867	3527	536
868	3530	532
869	3534	528
870	3538	524
871	3541	519
872	3545	515
873	3548	511
874	3552	507
875	3556	503
876	3559	499
877	3563	495
878	3567	491
879	3571	487
880	3574	482
881	3578	478
882	3582	474
883	3586	470
884	3589	466
885	3593	462
886	3597	458
887	3600	454
888	3604	449
889	3607	445
890	3612	441
891	3616	437
892	3620	433
893	3623	429
894	3628	425
895	3631	421
896	3635	417
897	3639	413
898	3645	409
899	3649	405
900	3652	401
901	3656	397
902	3660	393
903	3666	389
904	3671	385
905	3675	381
906	3679	377
907	3683	373
908	3687	369
909	3691	365
910	3695	361
911	3699	356
912	3703	352
913	3707	348
914	3711	344
915	3715	340
916	3719	336
917	3723	332
918	3728	328
919	3732	324
920	3735	320
921	3739	316
922	3743	312
923	3747	308
924	3751	304
925	3755	300
926	3759	296
927	3763	291
928	3766	287
929	3771	283
930	3775	279
931	3779	275
932	3783	271
933	3787	267
934	3791	263
935	3795	259
936	3798	255
937	3802	251
938	3806	247
939	3810	243
940	3813	239
941	3817	235
942	3820	230
943	3825	226
944	3829	222
945	3833	218
946	3837	214
947	3841	210
948	3844	206
949	3848	202
950	3852	198
951	3856	194
952	3860	190
953	3864	186
954	3868	182
955	3872	178
956	3875	174
957	3879	170
958	3883	166
959	3887	161
960	3891	157
961	3894	153
962	3899	149
963	3903	145
964	3907	141
965	3911	137
966	3915	133
967	3924	129
968	3933	125
969	3943	121
970	3947	117
971	3956	113
972	3964	110
973	3973	106
974	3981	102
975	3989	98
976	3993	94
977	3997	89
978	4002	85
979	4006	81
980	4009	77
981	4013	73
982	4018	69
983	4022	65
984	4025	61
985	4029	57
986	4033	53
987	4037	49
988	4041	44
989	4044	40
990	4049	36
991	4053	32
992	4057	28
993	4061	24
994	4065	20
995	4069	16
996	4073	12
997	4077	8
998	4081	4
999	4087	0
