iter	Passed	Remaining
769	23641	7061
770	23668	7029
771	23702	7000
772	23740	6971
773	23778	6943
774	23815	6914
775	23854	6885
776	23885	6855
777	23915	6824
778	23963	6798
779	24008	6771
780	24042	6741
781	24067	6709
782	24094	6677
783	24115	6644
784	24143	6612
785	24181	6583
786	24206	6551
787	24236	6520
788	24275	6491
789	24296	6458
790	24327	6427
791	24352	6395
792	24391	6367
793	24422	6336
794	24470	6310
795	24509	6281
796	24538	6250
797	24572	6220
798	24596	6187
799	24621	6155
800	24648	6123
801	24678	6092
802	24699	6059
803	24732	6029
804	24767	5999
805	24797	5968
806	24824	5937
807	24858	5907
808	24891	5876
809	24922	5846
810	24966	5818
811	25002	5788
812	25043	5760
813	25076	5730
814	25100	5697
815	25140	5669
816	25170	5638
817	25199	5606
818	25228	5575
819	25258	5544
820	25281	5511
821	25315	5481
822	25350	5452
823	25380	5421
824	25408	5389
825	25430	5357
826	25453	5324
827	25489	5295
828	25521	5264
829	25545	5232
830	25575	5201
831	25612	5171
832	25651	5142
833	25680	5111
834	25715	5081
835	25741	5049
836	25767	5018
837	25798	4987
838	25838	4958
839	25868	4927
840	25912	4898
841	25934	4866
842	25956	4834
843	25985	4803
844	26019	4772
845	26054	4742
846	26086	4712
847	26119	4681
848	26154	4651
849	26186	4621
850	26223	4591
851	26256	4561
852	26289	4530
853	26317	4499
854	26344	4467
855	26371	4436
856	26404	4405
857	26440	4375
858	26471	4345
859	26516	4316
860	26557	4287
861	26589	4256
862	26623	4226
863	26654	4195
864	26681	4164
865	26705	4132
866	26728	4100
867	26776	4072
868	26806	4041
869	26839	4010
870	26875	3980
871	26902	3948
872	26930	3917
873	26955	3886
874	26989	3855
875	27011	3823
876	27059	3795
877	27081	3763
878	27112	3732
879	27140	3700
880	27168	3669
881	27194	3638
882	27222	3607
883	27255	3576
884	27282	3545
885	27314	3514
886	27343	3483
887	27366	3451
888	27393	3420
889	27419	3388
890	27445	3357
891	27471	3326
892	27497	3294
893	27526	3263
894	27549	3232
895	27586	3202
896	27619	3171
897	27645	3140
898	27673	3108
899	27702	3078
900	27728	3046
901	27765	3016
902	27787	2984
903	27815	2953
904	27842	2922
905	27871	2891
906	27899	2860
907	27928	2829
908	27958	2798
909	27988	2768
910	28018	2737
911	28048	2706
912	28071	2674
913	28100	2644
914	28140	2614
915	28167	2583
916	28193	2551
917	28223	2521
918	28250	2489
919	28271	2458
920	28294	2427
