,공원이름,경도,위도,ADDRESS,CODE
65,엄 지,126.85471869999999,37.5657677,서울특별시 강서구 가양동,1150010400
66,무지개2,126.8516584,37.5650766,서울특별시 강서구 가양동,1150010400
67,풀피리,126.8546889,37.5635734,서울특별시 강서구 가양동,1150010400
68,곰돌이2,126.8575298,37.5623972,서울특별시 강서구 가양동,1150010400
69,비둘기2,126.86287920000001,37.559480799999996,서울특별시 강서구 가양동,1150010400
70,진달래,126.8608072,37.5625036,서울특별시 강서구 가양동,1150010400
71,발 음,126.8210719,37.5472236,서울특별시 강서구 외발산동,1150010700
72,광 명,126.8229159,37.5468604,서울특별시 강서구 외발산동,1150010700
73,수정,126.8210719,37.5472236,서울특별시 강서구 외발산동,1150010700
74,은행나무,126.8210719,37.5472236,서울특별시 강서구 외발산동,1150010700
75,신광명,126.834636,37.5546422,서울특별시 강서구 내발산동,1150010600
76,원 당,126.8210719,37.5472236,서울특별시 강서구 외발산동,1150010700
77,가 곡,126.8210719,37.5472236,서울특별시 강서구 외발산동,1150010700
78,꿈 빛,126.8210719,37.5472236,서울특별시 강서구 외발산동,1150010700
79,활주로,126.81598059999999,37.554193,서울특별시 강서구 공항동,1150010800
80,다 솔,126.81840179999999,37.5545272,서울특별시 강서구 공항동,1150010800
81,장 미,126.81380700000001,37.5568067,서울특별시 강서구 공항동,1150010800
82,쌈 지,126.8150402,37.571194899999995,서울특별시 강서구 방화동,1150010900
83,도레미,126.81941100000002,37.5719766,서울특별시 강서구 방화동,1150010900
84,들 꽃,126.8211832,37.5705761,서울특별시 강서구 방화동,1150010900
85,내 촌,126.8086895,37.5700705,서울특별시 강서구 방화동,1150010900
86,신대부석,126.7988525,37.5828923,서울특별시 강서구 개화동,1150011000
87,새싹교통,126.80946540000001,37.5694683,서울특별시 강서구 방화동,1150010900
88,은하수,126.80644299999999,37.5706037,서울특별시 강서구 방화동,1150010900
89,능 말,126.81059409999999,37.577929499999996,서울특별시 강서구 방화동,1150010900
90,메아리,126.81442620000001,37.5785807,서울특별시 강서구 방화동,1150010900
91,느 티,126.81033400000001,37.5793325,서울특별시 강서구 방화동,1150010900
92,돌 샘,126.81881489999999,37.5760289,서울특별시 강서구 방화동,1150010900
93,꿈나무,126.81893529999999,37.57521920000001,서울특별시 강서구 방화동,1150010900
94,개 화,126.81252959999999,37.5802376,서울특별시 강서구 방화동,1150010900
95,긴 등,126.81868,37.563069899999995,서울특별시 강서구 마곡동,1150010500
96,마곡지구4,126.81916229999999,37.5647822,서울특별시 강서구 마곡동,1150010500
97,마곡지구7,126.8182838,37.5609927,서울특별시 강서구 마곡동,1150010500
98,마곡지구8,126.8170219,37.5569786,서울특별시 강서구 마곡동,1150010500
99,마곡지구3,126.82554679999998,37.570302500000004,서울특별시 강서구 마곡동,1150010500
100,마곡지구6,126.82273880000001,37.56350870000001,서울특별시 강서구 마곡동,1150010500
101,마곡지구1,126.8257646,37.5558477,서울특별시 강서구 마곡동,1150010500
102,마곡지구2,126.8172392,37.54201389999999,서울특별시 강서구 외발산동,1150010700
103,등촌동,126.8580608,37.54956,서울특별시 강서구 등촌동,1150010200
104,방화동,126.81544309999998,37.5663388,서울특별시 강서구 방화동,1150010900
