,정류소명,경도,위도,ADDRESS,CODE,정류소
5999,신월동기점,126.8384549,37.5298339,서울특별시 강서구 화곡동,1150010300,신월동기점-1
6080,염창역.서울도시가스,126.8758831,37.54707449,서울특별시 강서구 염창동,1150010100,염창역.서울도시가스-1
6082,등촌역.강서보건소,126.8686699,37.54902427,서울특별시 강서구 염창동,1150010100,등촌역.강서보건소-1
6084,등촌중학교 백석초등학교,126.8615416,37.55260967,서울특별시 강서구 등촌동,1150010200,등촌중학교 백석초등학교-1
6085,등촌중학교 백석초등학교,126.8605239,37.55286474,서울특별시 강서구 등촌동,1150010200,등촌중학교 백석초등학교-2
6086,강서구청사거리.서울디지털대학교,126.8558137,37.55481289,서울특별시 강서구 등촌동,1150010200,강서구청사거리.서울디지털대학교-1
6087,강서구청사거리.서울디지털대학교,126.8540847,37.55523594,서울특별시 강서구 화곡동,1150010300,강서구청사거리.서울디지털대학교-2
6088,KBS스포츠월드,126.8505022,37.55667059,서울특별시 강서구 등촌동,1150010200,KBS스포츠월드-1
6089,KBS스포츠월드,126.8492422,37.5569273,서울특별시 강서구 화곡동,1150010300,KBS스포츠월드-2
6090,한국가스기술공사,126.8455032,37.55791232,서울특별시 강서구 등촌동,1150010200,한국가스기술공사-1
6091,한국가스기술공사,126.8432178,37.55796458,서울특별시 강서구 내발산동,1150010600,한국가스기술공사-2
6092,발산역,126.8391668,37.55853879,서울특별시 강서구 등촌동,1150010200,발산역-1
6093,송정역,126.809594,37.56135812,서울특별시 강서구 공항동,1150010800,송정역-1
6094,송정역,126.8110772,37.5613802,서울특별시 강서구 공항동,1150010800,송정역-2
6095,공항중학교.공항초등학교,126.8157967,37.5607019,서울특별시 강서구 공항동,1150010800,공항중학교.공항초등학교-1
6096,발산역,126.8375898,37.55845152,서울특별시 강서구 내발산동,1150010600,발산역-2
6097,마곡역,126.8276152,37.55971846,서울특별시 강서구 마곡동,1150010500,마곡역-1
6098,마곡역,126.8260564,37.5596898,서울특별시 강서구 마곡동,1150010500,마곡역-2
6099,공항초등학교.공항중학교,126.8168912,37.5607612,서울특별시 강서구 마곡동,1150010500,공항초등학교.공항중학교-1
6100,마곡동로사거리,126.8345811,37.55900792,서울특별시 강서구 마곡동,1150010500,마곡동로사거리-1
6101,마곡동로사거리,126.8318079,37.55911805,서울특별시 강서구 마곡동,1150010500,마곡동로사거리-2
6102,화원중학교,126.8408714,37.53786167,서울특별시 강서구 화곡동,1150010300,화원중학교-1
6103,서울식물원.식물문화센터,126.8350289,37.56835193,서울특별시 강서구 마곡동,1150010500,서울식물원.식물문화센터-1
6104,백석초등학교.한국임업진흥원,126.8615808,37.55259326,서울특별시 강서구 등촌동,1150010200,백석초등학교.한국임업진흥원-1
6105,등촌중학교.한국임업진흥원,126.860134,37.55303909,서울특별시 강서구 등촌동,1150010200,등촌중학교.한국임업진흥원-1
6106,KC대학교.화진코스메틱,126.8558538,37.55479868,서울특별시 강서구 등촌동,1150010200,KC대학교.화진코스메틱-1
6107,하이웨이주유소.KC대학교,126.8559523,37.55457493,서울특별시 강서구 화곡동,1150010300,하이웨이주유소.KC대학교-1
6108,서울식물원.숲문화학교,126.8342314,37.56631666,서울특별시 강서구 마곡동,1150010500,서울식물원.숲문화학교-1
6109,LG사이언스파크,126.8335087,37.56188269,서울특별시 강서구 마곡동,1150010500,LG사이언스파크-1
6110,등촌주공5단지아파트,126.8438906,37.5580714,서울특별시 강서구 등촌동,1150010200,등촌주공5단지아파트-1
6111,발산역4번출구,126.8392643,37.55852812,서울특별시 강서구 등촌동,1150010200,발산역4번출구-1
6112,발산역5번출구,126.8395016,37.55832548,서울특별시 강서구 내발산동,1150010600,발산역5번출구-1
6113,공항중학교,126.8147057,37.56100744,서울특별시 강서구 공항동,1150010800,공항중학교-1
6114,송정역,126.8103378,37.56128052,서울특별시 강서구 공항동,1150010800,송정역-3
6115,송정역,126.8090028,37.56159364,서울특별시 강서구 공항동,1150010800,송정역-4
6116,공항시장,126.8088619,37.5623132,서울특별시 강서구 공항동,1150010800,공항시장-1
6117,공항시장,126.8091212,37.56257213,서울특별시 강서구 공항동,1150010800,공항시장-2
6118,공항시장역3번출구,126.8108738,37.56386249,서울특별시 강서구 공항동,1150010800,공항시장역3번출구-1
6119,공항시장역.공항성산교회,126.8114502,37.56471484,서울특별시 강서구 방화동,1150010900,공항시장역.공항성산교회-1
6120,방화주유소,126.8125319,37.56619301,서울특별시 강서구 방화동,1150010900,방화주유소-1
6121,방화2동청성아파트앞,126.8117143,37.56697825,서울특별시 강서구 방화동,1150010900,방화2동청성아파트앞-1
6122,방신전통시장,126.8128183,37.56991852,서울특별시 강서구 방화동,1150010900,방신전통시장-1
6123,방화2동우촌연립,126.8115768,37.57002692,서울특별시 강서구 방화동,1150010900,방화2동우촌연립-1
6124,국민은행방화동지점,126.8115118,37.57271432,서울특별시 강서구 방화동,1150010900,국민은행방화동지점-1
6125,국민은행방화동지점,126.8114164,37.57266102,서울특별시 강서구 방화동,1150010900,국민은행방화동지점-2
6126,한서고등학교.보람아파트,126.811668,37.57479101,서울특별시 강서구 방화동,1150010900,한서고등학교.보람아파트-1
6127,한서고등학교.보람아파트,126.8115176,37.57480954,서울특별시 강서구 방화동,1150010900,한서고등학교.보람아파트-2
6128,방화역,126.8125546,37.57670839,서울특별시 강서구 방화동,1150010900,방화역-1
6129,방화역,126.8125008,37.57687894,서울특별시 강서구 방화동,1150010900,방화역-2
6130,방화3동주민센터.국립국어원,126.813441,37.57910184,서울특별시 강서구 방화동,1150010900,방화3동주민센터.국립국어원-1
