,지하철역수,버스정류장수,유동인구비율,복지시설,의료기관,도서관,면적,공원이름,입지지수
20,0.0,0.46,1.0,0.5,0.12121212121212122,1.0,0.04587155963302751,큰 별,0.4554848484848485
21,0.0,0.44,1.0,0.5,0.31313131313131315,1.0,0.1016270464798013,꿈돌이,0.46491919191919195
22,0.0,0.46,1.0,0.5,0.11111111111111112,1.0,0.03003193268792133,소나무,0.45477777777777784
23,0.0,0.52,1.0,0.25,0.06060606060606061,1.0,0.028384611485630276,박 장,0.3757424242424243
24,0.0,0.72,1.0,0.25,0.010101010101010102,0.5,0.03294642404582086,한 글,0.3972070707070707
25,0.0,0.13999999999999999,1.0,0.0,0.14141414141414144,0.5,0.04454103096963859,효 심,0.2028989898989899
26,1.0,0.22,1.0,0.25,0.5252525252525253,0.5,0.04843124334735667,버 들,0.5332676767676767
27,0.0,0.16,1.0,0.25,0.23232323232323235,0.5,0.11537584266815347,필 마,0.30076262626262623
28,1.0,0.32,1.0,1.0,0.6464646464646465,1.0,0.07420548431243344,다 운,0.8392525252525254
29,1.0,0.18,1.0,0.75,0.4040404040404041,0.5,0.013508033858786558,호돌이,0.6917828282828282
30,1.0,0.26,1.0,0.75,0.5858585858585859,1.0,0.03825586699782045,곰돌이1,0.7355101010101011
31,0.5,0.34,1.0,0.25,0.7777777777777778,0.5,0.16175427036342438,솔뫼,0.47494444444444445
32,0.0,0.16,1.0,0.25,0.24242424242424243,0.5,0.06038065791474477,월정,0.30146969696969694
33,0.0,0.28,1.0,0.0,0.4646464646464647,0.5,0.030538800750164727,초롱,0.25352525252525254
34,0.0,0.22,1.0,0.25,0.24242424242424243,0.5,0.05304374271377159,은행,0.31346969696969695
35,1.0,0.30000000000000004,1.0,0.25,0.6767676767676768,0.5,0.058112423336205574,까치,0.5598737373737374
36,0.0,1.0,1.0,0.0,0.29292929292929293,1.0,0.03458107354655582,골 말,0.4005050505050505
37,0.0,0.44,1.0,0.0,0.25252525252525254,0.5,0.03717877236555324,뜸부기,0.2706767676767677
38,0.0,0.52,1.0,0.75,0.18181818181818182,0.5,0.04077753560748136,하마터,0.5442272727272727
39,0.5,0.28,1.0,0.0,0.6767676767676768,0.5,0.03441634142632673,바탕골,0.36837373737373746
40,0.5,0.26,1.0,0.0,0.6666666666666667,0.0,0.03326321658472299,미리내,0.34866666666666674
41,0.0,0.26,1.0,0.0,0.48484848484848486,1.0,0.03546809265548177,수 명,0.2659393939393939
42,0.5,0.26,1.0,0.0,0.5252525252525253,0.0,0.21417709970094778,천 사,0.33876767676767683
43,0.0,0.30000000000000004,1.0,0.0,0.4545454545454546,1.0,0.035620153074154795,두 레,0.27181818181818185
44,0.0,0.16,1.0,0.0,0.4444444444444445,0.5,0.03436565462010238,달 빛,0.2281111111111111
45,0.0,0.44,1.0,0.0,0.5050505050505051,0.5,0.03436565462010238,무지개1,0.28835353535353536
46,0.0,0.94,1.0,0.0,0.030303030303030304,0.0,0.03702671194688022,능 골,0.3401212121212121
47,0.0,0.82,1.0,0.0,0.3434343434343435,0.5,0.0362917532566273,종달새,0.35304040404040404
48,0.0,0.52,1.0,0.5,0.19191919191919193,0.5,0.035113285011911397,역 말,0.45743434343434347
49,0.0,0.28,1.0,0.5,0.19191919191919193,0.5,0.03352932231740077,새 말,0.40943434343434343
50,0.0,0.46,1.0,0.5,0.26262626262626265,0.5,0.050990927061685856,백 연,0.45038383838383844
51,1.0,0.46,1.0,0.75,0.686868686868687,0.5,0.11722591109534185,배다리,0.7675808080808081
52,0.0,0.96,1.0,0.0,0.17171717171717174,0.5,0.21247909169243245,안 골,0.369020202020202
53,0.0,0.5399999999999999,1.0,0.0,0.10101010101010102,0.5,0.030538800750164727,대 무,0.2800707070707071
54,1.0,0.34,1.0,0.75,0.5353535353535354,0.5,0.037812357443357494,모 태,0.7329747474747474
55,1.0,0.46,1.0,0.0,0.5858585858585859,0.5,0.07079679659384662,더부리,0.49801010101010107
56,0.5,0.22,1.0,0.25,0.6262626262626263,0.5,0.21963860307162042,화곡2-1(가칭),0.44033838383838386
57,0.5,0.24000000000000002,1.0,0.25,0.6666666666666667,0.5,0.2196259313700643,화곡2-2(가칭),0.4471666666666667
58,0.5,0.44,1.0,0.25,1.0,0.5,0.03403619037964417,범바위,0.5105
59,0.0,0.52,1.0,0.0,0.07070707070707072,0.5,0.48142328551877933,화곡3-1,0.27394949494949494
60,0.0,0.52,1.0,0.0,0.07070707070707072,0.5,0.34996705357595415,화곡3-2,0.27394949494949494
61,0.5,0.12,0.42243251592764236,0.0,0.08080808080808081,0.5,0.10074002737087535,나들이,0.20802144304571202
62,0.0,0.22,0.42243251592764236,0.25,0.07070707070707072,1.0,0.15852298646662272,아 름,0.22981437233864133
63,0.0,0.16,0.42243251592764236,0.25,0.09090909090909091,0.5,0.10209589943737644,꽃동네,0.20422851375278273
64,0.5,0.22,0.42243251592764236,0.0,0.11111111111111112,0.5,0.10074002737087535,가양(가칭),0.23014265516692417
65,0.5,0.28,0.42243251592764236,0.25,0.3434343434343435,1.0,0.10220994475138119,엄 지,0.36090528142955036
66,0.5,0.5399999999999999,0.42243251592764236,0.25,0.36363636363636365,1.0,0.10074002737087535,무지개2,0.41431942284369183
67,0.5,0.5,0.42243251592764236,0.0,0.4646464646464647,0.5,0.10859648233564802,풀피리,0.3108901299143989
68,0.5,0.4,0.42243251592764236,0.0,0.4040404040404041,1.0,0.11497034821835873,곰돌이2,0.30164770567197463
69,0.5,0.22,0.42243251592764236,0.0,0.23232323232323235,0.5,0.11630087688174766,비둘기2,0.23862750365177265
70,0.0,0.22,0.42243251592764236,0.0,0.13131313131313133,0.5,0.10074002737087535,진달래,0.13155679658106556
71,0.0,0.4,0.0,0.0,0.0,0.0,0.026433169445993207,발 음,0.08000000000000002
72,0.0,0.34,0.0,0.0,0.0,0.0,0.13102539408991837,광 명,0.068
73,0.0,0.4,0.0,0.0,0.0,0.0,0.41757058137766734,수정,0.08000000000000002
74,0.0,0.4,0.0,0.0,0.0,0.0,0.13424400628516397,은행나무,0.08000000000000002
75,0.0,0.28,0.11571008271258956,0.0,0.5050505050505051,0.5,1.0,신광명,0.1237100477604238
76,0.0,0.4,0.0,0.0,0.0,0.0,0.03632976836129555,원 당,0.08000000000000002
77,0.0,0.4,0.0,0.0,0.0,0.0,0.2588701910892594,가 곡,0.08000000000000002
78,0.0,0.4,0.0,0.0,0.0,0.0,0.10074002737087535,꿈 빛,0.08000000000000002
79,0.0,0.34,0.15766347092150879,0.0,0.020202020202020204,0.0,0.178848395762583,활주로,0.09306366205236773
80,0.0,0.24000000000000002,0.15766347092150879,0.0,0.010101010101010102,0.0,0.22653200871813062,다 솔,0.07235659134529704
81,0.0,0.30000000000000004,0.15766347092150879,0.0,0.07070707070707072,0.5,0.12120482538395254,장 미,0.10359901558772128
82,0.5,0.5599999999999999,0.5032253482124738,0.0,0.29292929292929293,0.5,0.4141112068528562,쌈 지,0.32298885273692163
83,0.0,0.46,0.5032253482124738,0.0,0.10101010101010102,1.0,0.7532059404936894,도레미,0.20455450930257815
84,0.0,0.46,0.5032253482124738,0.0,0.11111111111111112,1.0,0.0,들 꽃,0.20526158000964886
85,0.0,0.36000000000000004,0.5032253482124738,0.25,0.27272727272727276,1.0,0.05626235490901717,내 촌,0.28407471132278017
86,0.5,0.07999999999999999,0.1268019571857759,0.0,0.0,0.0,0.05410816564448272,신대부석,0.13502029357786638
87,0.0,0.38,0.5032253482124738,0.0,0.27272727272727276,1.0,0.5365198438846368,새싹교통,0.20057471132278018
88,0.0,0.18,0.5032253482124738,0.25,0.07070707070707072,1.0,0.39545846216229913,은하수,0.23393329718136602
89,0.5,0.19999999999999998,0.5032253482124738,0.0,0.30303030303030304,1.0,0.10336306959298493,능 말,0.2666959234439923
90,0.5,0.28,0.5032253482124738,0.0,0.20202020202020204,1.0,0.10220994475138119,메아리,0.27562521637328524
91,0.5,0.12,0.5032253482124738,0.0,0.19191919191919193,1.0,0.10237467687161032,느 티,0.2429181456662145
92,0.0,0.32,0.5032253482124738,0.0,0.13131313131313133,0.5,0.1007780424755436,돌 샘,0.16367572142379028
93,0.0,0.36000000000000004,0.5032253482124738,0.0,0.14141414141414144,0.5,0.10076537077398752,꿈나무,0.172382792130861
94,0.5,0.12,0.5032253482124738,0.0,0.19191919191919193,1.0,0.10228597496071772,개 화,0.2429181456662145
95,0.0,0.22,0.2854086391811846,0.0,0.09090909090909091,0.0,0.11915200973186678,긴 등,0.09317493224081405
96,0.5,0.34,0.2854086391811846,0.0,0.08080808080808081,0.0,0.16587257336915195,마곡지구4,0.21646786153374337
97,0.0,0.26,0.2854086391811846,0.0,0.07070707070707072,0.0,0.24747833139033903,마곡지구7,0.09976079082667264
98,0.0,0.34,0.2854086391811846,0.0,0.04040404040404041,0.0,0.15712909929545338,마곡지구8,0.11363957870546053
99,0.5,0.38,0.2854086391811846,0.0,0.12121212121212122,0.0,0.09997972527751024,마곡지구3,0.2272961443620262
100,0.0,0.4,0.2854086391811846,0.0,0.13131313131313133,0.0,0.27358203659587405,마곡지구6,0.1320032150690969
101,0.0,0.44,0.2854086391811846,0.0,0.26262626262626265,0.5,0.16409853515130007,마곡지구1,0.16419513426101606
102,0.0,0.0,0.0,0.0,0.0,0.0,0.17246185817831616,마곡지구2,0.0
103,0.0,0.060000000000000005,0.425842727025961,0.0,0.020202020202020204,0.0,0.10564397587308023,등촌동,0.07729055046803555
104,0.5,0.38,0.5032253482124738,0.0,0.29292929292929293,0.5,0.14255664250595568,방화동,0.2869888527369216
